ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,jefferson,2053258100,aauugee  eee  ssouqss,voluntary non-profit - private,yes,surgical infection prevention,ssxii--xf,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,al_scip-card-2
10018,callahan eye foundation hospital,1122  uujiivveezkgt  llgf,,,,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,wfpp--nnc11,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,
10018,callahan eye foundation hospital,scip-inf-2,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,,,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,5533,jefferson,2053258100,acute care hospitals,vvliyaarrt  bpjpptffii  --ppc,yes,,scip-inf-3,acute care hospitals,,,al_scip-inf-3
10018,callahan eye foundation hospital,,,,birmingham,al,35233,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,ssfiio--ii--,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10018,,1720 university blvd,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,heed,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_scip-inf-6
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,2053258100,jjwrctoonn,2053258100,,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_scip-vte-1
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,hw,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
10019,helen keller memorial hospital,  aoouutthhkoonnttfrrrh  vveeee,,,,al,35660,,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
10019,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,keeeal,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-2
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,10019,100%,4 patients,al_ami-4
10019,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,jefferson,2563864556,aafydccrrjoozppkqll,government - hospital district or authority,yes,,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
10019,acute care hospitals,1300 south montgomery avenue,,,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
10019,helen keller memorial hospital,al,,,sheffield,al,,jefferson,jefferson,acute care hospitals,,yes,heart failure,hf-1,heart failure patients given discharge instructions,80%,114 patients,al_hf-1
10019,,1300 south montgomery avenue,,,sheffield,al,35660,jefferson,2563864556,al,vvvbeebgppiig  ddsstt  l  aauugpeoy,yes,heart failure,hhff,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,al_hf-2
10019,helen keller memorial hospital,1300 south montgomery avenue,,,al_hf-3,al,government - hospital district or authority,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,,,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
al,southeast alabama medical center,1108 ross clark circle,,,,,al_ami-1,houston,3347938701,acute care hospitals,government - hospital district or authority,uwss,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
10001,southeast alabama medical center,1108 ross clark circle,,,,al,36302,10001,3347938701,cctt  xaahhssuss,,uee,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,,36302,,3347938701,,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
10001,,1108 ross clark circle,,,dothan,al,22,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,,100%,244 patients,al_ami-4
10001,yttjeesss  kaabbskaaeeof  eennrr,1108 ross clark circle,,,,al,36302,houston,3347938701,acute care hospitals,441 patients,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,99%,441 patients,
10001,,1108 ross clark circle,,,eooyhhaam,al,36302,houston,10001,acute care hospitals,government - hospital district or authority,,heart attack,ami-7a,ydtrttqvkk  ppsgueennttvveeriibbnnlllttiix  nkccsii  qiittiij  iiuu  ffstiico,,0 patients,al_ami-7a
00000011,southeast alabama medical center,1108 ross clark circle,,,,al,36302,,3347938701,acute care hospitals,government - hospital district or authority,yes,wt  aattaaxkk,ami-8a,heart attack patients given pci within 90 minutes of arrival,72%,40 patients,al_ami-8a
10001,,1111  fassccllkkcciieo,,,dothan,al,3333,,3347938701,acute care hospitals,toogrjkrnnissoiittaall  ddussrriiftt  joorriittyy,yes,,,heart failure patients given discharge instructions,78%,455 patients,al_hf-1
10001,southeast alabama medical center,1108 ross clark circle,,,,sk,514 patients,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,heart failure
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302,houston,3347938701,,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,165 patients,qll__33
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302,yes,3347938701,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,110 patients,al_hf-4
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302,10001,3347938701,acute care hospitals,vvnnnnnroossokaaoddiigeottpt  aaylrru,yes,pneumonia,pn-2,,93%,191 patients,93%
,southeast alabama medical center,125 patients,,,dothan,al,36302,yes,,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,125 patients,al_pn-3b
10001,,1108 ross clark circle,,,dothan,aao,36302,houston,3347938701,,government - hospital district or authority,yes,pneumonia,pn-4,,99%,107 patients,al_pn-4
