,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
prvdr_id,0.0,-0.85,-0.85,0.95,-0.85,-0.85,0.95,-0.85,0.95,-0.85,-0.95
frst_nm,-0.15,0.0,-0.15,-0.15,-0.15,-0.15,-0.85,-0.95,-0.15,-0.15,-0.95
lst_nm,-0.85,0.95,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.15,-0.85,-0.95
adrs_id,0.95,-0.85,0.95,0.0,0.95,0.95,0.95,0.95,0.95,-0.85,-0.95
adr_ln_1,-0.85,-0.15,-0.15,-0.95,0.0,-0.85,-0.85,-0.85,-0.85,-0.85,-0.95
cty,-0.85,-0.15,-0.85,0.95,-0.85,0.0,0.95,-0.85,0.95,-0.85,-0.95
st,-0.85,-0.85,-0.15,-0.85,-0.85,0.95,0.0,-0.95,-0.85,-0.85,-0.95
zip,-0.85,-0.15,-0.15,-0.85,-0.15,0.95,-0.85,0.0,-0.85,-0.15,-0.95
org_pac_id,0.95,-0.15,-0.15,0.95,-0.85,0.95,-0.85,-0.85,0.0,-0.85,-0.95
phn_numbr,-0.85,-0.85,0.95,0.95,0.95,0.95,0.95,-0.85,0.95,0.0,-0.95
NPI,0.95,0.95,0.95,0.95,0.95,0.95,0.95,-0.95,0.95,0.95,0.0
