,name,surname,birthyear,birthplace,position,team,city,stadium,season,manager
name,0.0,-0.95,0.98,-0.15,0.95,0.95,-0.15,0.95,-0.95,0.95
surname,-0.95,0.0,-0.15,-0.85,-0.15,0.95,-0.15,-0.95,-0.95,-0.95
birthyear,-0.95,-0.95,0.0,-0.15,-0.15,-0.95,-0.15,-0.95,-0.95,-0.95
birthplace,-0.95,-0.95,-0.95,0.0,-0.15,-0.95,-0.85,-0.95,-0.95,-0.95
position,-0.15,-0.15,-0.15,-0.15,0.0,-0.85,-0.15,-0.95,-0.95,-0.95
team,-0.15,-0.95,-0.95,-0.95,-0.15,0.0,-0.85,0.95,-0.95,0.95
city,-0.85,-0.95,-0.95,-0.95,-0.15,-0.15,0.0,0.95,-0.95,-0.15
stadium,-0.85,-0.95,-0.95,-0.95,-0.15,-0.85,0.95,0.0,-0.85,-0.85
season,-0.95,-0.95,-0.95,-0.15,-0.15,-0.15,-0.15,-0.85,0.0,-0.85
manager,-0.85,-0.15,-0.95,-0.85,-0.15,0.95,-0.15,0.95,-0.95,0.0
