,CCN,Facility,Address1,City,State,ZipCode,County,PhoneNumber,CMSRegion,Condition
CCN,0.0,1.0,0.98,0.98,1.0,0.98,0.95,0.98,0.95,0.95
Facility,0.98,0.0,0.98,0.98,0.98,0.98,0.95,0.98,0.95,-0.85
Address1,-0.95,0.98,0.0,0.95,-0.85,0.98,-0.85,-0.85,0.95,-0.15
City,-0.95,-0.85,-0.85,0.0,1.0,0.95,0.95,-0.85,0.95,-0.15
State,-0.85,-0.85,-0.85,-0.85,0.0,-0.95,0.95,-0.85,0.95,-0.35
ZipCode,-0.95,-0.85,-0.95,0.98,0.98,0.0,0.95,-0.95,0.95,-0.85
County,-0.95,-0.85,-0.95,0.95,0.98,-0.95,0.0,-0.85,0.95,-0.35
PhoneNumber,-0.95,0.98,-0.95,-0.95,-0.95,-0.95,-0.95,0.0,0.95,-0.85
CMSRegion,0.95,-0.85,-0.95,-0.85,0.95,-0.95,-0.85,0.95,0.0,-0.15
Condition,-0.85,-0.95,-0.85,-0.85,-0.85,-0.95,-0.85,-0.85,-0.85,0.0
