ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
000088,callahan eye foundation hospital,,,,birmingham,al,35233,,225533,,birmingham,000088,surgical infection prevention,scip-card-2,,,,al_scip-card-2
,callahan eye foundation hospital,1720 university blvd,,,bbiinomggsmm,,35233,jefferson,,aaccttd  ccrrr  pokaall,voluntary non-profit - private,callahan eye foundation hospital,surgical infection prevention,,,,,
,callahan eye foundation hospital,,,,birmingham,al,,jefferson,2053258100,,al,yes,ffsiinnreeccgnn  pprrrttii,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
2053258100,,,,,vrriinngghhmm,aa,,jefferson,2053258100,,voluntary non-profit - private,yes,vrriinngghhmm,scip-inf-3,vrriinngghhmm,,,__wo--nng
10018,callahan eye foundation hospital,callahan eye foundation hospital,,,birmingham,,35233,jefferson,2053258100,,voluntary non-profit - private,yes,surgical infection prevention,2053258100,callahan eye foundation hospital,,,
acute care hospitals,ooaaywyy  puuddqiim  oossokk,1720 university blvd,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,zcciio--knnff66,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,ooaaywyy  puuddqiim  oossokk
10018,,1720 university blvd,,,birmingham,al,35233,jefferson,2200220000,acute care hospitals,,eess,uuiiccqoiiffeettoomoteevveebri,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_scip-vte-1
al_scip-vte-2,callahan eye foundation hospital,,,,birmingham,al,,,2053258100,acute care hospitals,,yy,,ccoppvvw22,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,
10019,,330000oouumminnttggneefyy  vveeuud,,,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,sheffield,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
2563864556,helen keller memorial hospital,syttxsrr  ywppuska,,,sheffield,government - hospital district or authority,13 patients,jefferson,2563864556,syttxsrr  ywppuska,2563864556,yes,heart attack,ami-2,yes,92%,13 patients,al_ami-2
10019,sheffield,1300 south montgomery avenue,,,sheffield,,35660,jefferson,2563864556,,government - hospital district or authority,hrw,tt  qgccm,mmii--,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,aa__aa--33
