ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,al_scip-card-2,,,birmingham,al,surgical infection prevention,jefferson,,,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,al,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,uurrvdrryy  oaayiid  ooed  ggkbrssybbuooriicc  aattr  iiyr  rummd((giioor  gooi  hdooee  irrggeyy))ttoo  do  teeceem  jffwxo,,,10018
10018,callahan eye foundation hospital,1720 university blvd,,,bbfnjs,al,35233,,,aafigccaaegooppuyqll,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,al_scip-inf-2
10018,callahan eye foundation hospital,scip-inf-3,,,birmingham,al,35233,jefferson,2053258100,acute care hospitals,surgical infection prevention,acute care hospitals,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,__diionn--33
10018,callahan eye foundation hospital,1720 university blvd,,,novsk,al,35233,jefferson,2053258100,acute care hospitals,,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,55223333,jefferson,jefferson,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,al_scip-inf-6
35233,callahan eye foundation hospital,1177uubkwuubbof,,,,al,35233,,2053258100,acute care hospitals,vvooojnnrryy  nnm--orrg  iiaag,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_scip-vte-1
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,,jefferson,2053258100,uuw  ccsw  hhiaoottskss,voluntary non-profit - private,yes,yrrgguo  iieexlnn  cnnttup,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
10019,ywllbkkeeoownrooii  ikgqk,1300 south montgomery avenue,,,sheffield,10019,35660,jefferson,665555,acute care hospitals,government - hospital district or authority,yes,35660,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
10019,hheewmlwllrr  ndmmoorrkqohhaoiittaa,,,,sheffield,al,35660,,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-2
75%,helen keller memorial hospital,,,,sheffield,al,35660,jefferson,2266334455,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,hhdstt  aattttqfkk  oaattiieennr  ggvveennaavee  iimhhbbkttpaarrnffirdyvvytocckaa  sshttlliivddyyrymccttiioom((llvvzdd,75%,4 patients,al_ami-3
10019,10019,1300 south montgomery avenue,,,sheffield,al,35660,,2563864556,,,2563864556,heart attack,ami-4,,100%,4 patients,al_ami-4
10019,dllee  eerr  iilloowoiiaa,1300 south montgomery avenue,,,dllee  eerr  iilloowoiiaa,al,35660,jefferson,2563864556,acute care hospitals,,yes,yes,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660,jefferson,2563864556,acute care hospitals,,yes,heart attack,ami-7a,,,0 patients,
