ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,,,birmingham,,35233,jjffffeezinn,22002255880000,acute care hospitals,yes,yes,acute care hospitals,yes,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,,
10018,voluntary non-profit - private,1720 university blvd,,,birmingham,al,332233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,,al_scip-inf-1
,callahan eye foundation hospital,1720 university blvd,,,birmingham,al,35233,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,sscck--umff,auurrheeuppaattiieey  yered  ggvvdj  d    ut  iilrbbiiruvro  pprvveennr  umgccttopb,,,al_scip-inf-2
10018,,,,,birmingham,birmingham,35233,jefferson,2053258100,acute care hospitals,,yes,afqkiijckoo  ppeeebnngb,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,al_scip-inf-3
yes,callahan eye foundation hospital,2053258100,,,birmingham,al,yes,jefferson,2053258100,acute care hospitals,lluu  oobpprrooco  orryee,yes,afuaall  nnuoevvjttoo,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,al_scip-inf-4
10018,callahan eye foundation hospital,,,,birmingham,callahan eye foundation hospital,35233,,2053258100,acute care hospitals,voluntary non-profit - private,,,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),,,2053258100
,callahan eye foundation hospital,,,,voluntary non-profit - private,al,35233,,,aaxrccteehhpdppgaaoss,voluntary non-profit - private,,,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,,al_scip-vte-1
10018,surgical infection prevention,surgical infection prevention,,,,,35233,callahan eye foundation hospital,2053258100,,,,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,,al_scip-vte-2
10019,acute care hospitals,,,,sheffield,al,35660,jefferson,5566445566,acute care hospitals,ooeeennmmeennyhhpssoiittddkwttfiitt  oorraauuhhrrgt,al_ami-1,heart attack,ami-1,,97%,33 patients,al_ami-1
10019,helen keller memorial hospital,,,,,o,35660,,,acute care hospitals,13 patients,yes,qeaaaakk,aammii--22,,92%,13 patients,al_ami-2
